START;00:00:01.010;00:00:15.000
Roadblocks;00:00:15.010;00:02:25.000
Cloud Computing;00:02:25.010;00:02:30.000
Deployment Model;00:02:30.010;00:02:35.000
Public Cloud;00:02:35.010;00:02:40.000
Private Cloud;00:02:40.010;00:02:45.000
Hybrid Cloud;00:02:45.010;00:02:50.000
Azure;00:02:50.010;00:02:55.000
Google Cloud Platform;00:02:55.010;00:03:20.000
Service Model;00:03:20.010;00:04:00.000
Paas;00:04:00.010;00:04:05.000
Applications;00:04:05.010;00:04:10.000
Data;00:04:10.010;00:04:15.000
Runtime;00:04:15.010;00:04:20.000
Middleware;00:04:20.010;00:04:25.000
You Manage;00:04:25.010;00:04:30.000
Other Manages;00:04:30.010;00:04:35.000
Virtualization;00:04:35.010;00:04:40.000
Servers;00:04:40.010;00:04:45.000
Storage;00:04:45.010;00:04:50.000
Networking;00:04:50.010;00:05:25.000
Amazon;00:05:25.010;00:06:20.000
